OBJECTID,Valor en pesos ($),Localidad,Sector Catastral,Identificador único de la manzana,coord_x,coord_y
57996,1700000,KENNEDY,HIPOTECHO,004501067,"-74,12917497400002","4,628098036651977"
58016,1300000,KENNEDY,HIPOTECHO SUR,004551017,"-74,12873793950001","4,623010574151811"
58031,390000,KENNEDY,HIPOTECHO SUR,004551078,"-74,12787443049999","4,6207419291517215"
58129,1300000,KENNEDY,ALQUERIA LA FRAGUA NORTE,004542070,"-74,1301176145","4,6085321516513496"
58282,1700000,KENNEDY,PROVIVIENDA ORIENTAL,004503057,"-74,12803331450002","4,6158335031515785"
58283,1700000,KENNEDY,PROVIVIENDA ORIENTAL,004503001,"-74,13048896999999","4,617518545651615"
58286,1500000,KENNEDY,HIPOTECHO,004501010,"-74,13027256950002","4,625332208651882"
58320,1500000,KENNEDY,HIPOTECHO,004501067,"-74,1293183745","4,628113266651982"
58376,1700000,KENNEDY,HIPOTECHO,004501069,"-74,1289022745","4,627811071651953"
58384,1700000,KENNEDY,PROVIVIENDA ORIENTAL,004503085,"-74,128902125","4,613876714151518"
58493,1500000,KENNEDY,HIPOTECHO,004501017,"-74,13122336250001","4,628305291651975"
58495,510000,KENNEDY,PROVIVIENDA ORIENTAL,004503090,"-74,13137860749998","4,611856198151441"
58562,1700000,KENNEDY,HIPOTECHO,004501065,"-74,130200651","4,629022670152015"
58590,1300000,KENNEDY,HIPOTECHO SUR,004551036,"-74,12817634450002","4,621502131651749"
58688,1500000,KENNEDY,HIPOTECHO SUR,004551048,"-74,1280445335","4,618592680151666"
58690,480000,KENNEDY,HIPOTECHO OCCIDENTAL,004502004,"-74,13226392600001","4,617889101651638"
58715,510000,KENNEDY,PROVIVIENDA ORIENTAL,004503010,"-74,13015075550001","4,613712096651499"
59162,2500000,PUENTE ARANDA,PROVIVIENDA NORTE,004310007,"-74,12773547700002","4,612440027651447"
59220,1900000,PUENTE ARANDA,PROVIVIENDA NORTE,004310001,"-74,12812425099997","4,610566501151394"
60121,510000,KENNEDY,MARSELLA,006502078,"-74,13020698049999","4,633327346652125"
60510,1900000,KENNEDY,HIPOTECHO OCCIDENTAL,004502050,"-74,13117739900002","4,623124485651809"
60585,1500000,KENNEDY,HIPOTECHO,004501020,"-74,13174974400002","4,628056647651958"
60670,1300000,KENNEDY,HIPOTECHO SUR,004551054,"-74,129118094","4,619283922151703"
61185,1700000,KENNEDY,PROVIVIENDA ORIENTAL,004503002,"-74,12982137749998","4,6160265801515585"
61320,1800000,TEUSAQUILLO,CIUDAD SALITRE NOR-ORIENTAL,,"-74,098654581","4,640294619652364"
61364,495000,PUENTE ARANDA,SALAZAR GOMEZ,,"-74,11014267499999","4,629791753152034"
61375,525000,PUENTE ARANDA,GALAN,,"-74,12297617600001","4,613990143151508"
61376,2000000,PUENTE ARANDA,LA TRINIDAD,,"-74,11629271199999","4,627752993651955"
61397,390000,PUENTE ARANDA,LOS EJIDOS,,"-74,10160383849998","4,618528586651648"
61427,390000,PUENTE ARANDA,SALAZAR GOMEZ,,"-74,11279653349999","4,627472763151966"
61437,510000,PUENTE ARANDA,GORGONZOLA,,"-74,10663081800001","4,625335056651885"
61477,1700000,KENNEDY,PROVIVIENDA ORIENTAL,004503048,"-74,129004872","4,61611381665157"
61485,411000,FONTIBON,GRANJAS DE TECHO,,"-74,11974629149998","4,638642200152306"
61487,76000,KENNEDY,MARSELLA,,"-74,125275061","4,634204400152157"
