Nombre,Localidad,Tipo de Atractivo,Ubicación,coord_x,coord_y
Edificios Cavas y Falcas,Santa Fe,3,KR 13 con CL 28A (Parque Central Bavaria),"-74,06941100020036","4,61638199956808"
Eje Ambiental - Paseo de la Avenida Jiménez de Quesada,Candelaria,3,KR 10 a la KR 3 por la AC 13,"-74,06885200015861","4,600922000392847"
Escultura Abstracta,Santa Fe,3,"AV Caracas con AV 6, costado Suroriental","-74,08133000010366","4,595686999870147"
Escultura al maestro Cesar Rincón,Santa Fe,3,KR 6 # 26 - 50 Plaza de Toros La Santamaría,"-74,06871499989126","4,613040000342557"
Escultura Ala Solar,Teusaquillo,3,AC 26 con AV de las Américas,"-74,08016799963924","4,625039999564882"
Escultura del Buen Ciudadano,Candelaria,3,KR 8 # 9 - 83,"-74,07722830509277","4,59703818558059"
Escultura del Mono de la Pila (replica),Santa Fe,3,KR 7 CL 27,"-74,06963799998107","4,613501999769254"
Escultura El Mono de la Pila,Candelaria,3,KR 6 # 9 - 77,"-74,0752655580622","4,596682614742127"
Escultura Hombre a Caballo,Los Mártires,3,SC 26 y KR 22,"-74,07654700032343","4,620152355102184"
Escultura Homenaje a las Telecomunicaciones,Santa Fe,3,"KR 13 CL 23, ESQ Suroccidental","-74,07356200014391","4,6105309995744905"
Escultura La Rebeca,Santa Fe,3,"AC 26 KR 13, costado suroriental","-74,07151199974979","4,612246000160543"
Escultura la Virgen del Campo,Santa Fe,3,KR 7 con CL 26 Iglesia de San Diego,"-74,06994299957961","4,612722999939947"
Escultura Las Edades de Bogotá,Santa Fe,3,KR 3 CL 22 ESQ noroccidental,"-74,06691700029053","4,605761000413584"
Escultura Mariposa,Santa Fe,3,"AC 13 entre KR 11 y 12, Plaza de Antonio Nariño","-74,078446588603","4,601925588819769"
Escultura Minerva,Candelaria,3,CL 11 # 4 - 14,"-74,07282525494848","4,596999135181342"
Escultura Monumento al Silencio,Santa Fe,3,AV Circunvalar CL 35,"-74,05962899983152","4,618873000065263"
Escultura Nave Espacial,Santa Fe,3,AC 26 A con KR 13 A Plazoleta Centro de Comercio Internacional,"-74,07153400038942","4,61525199983684"
