Identificador del parque,Estrato,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Código Localidad,coord_x,coord_y
08-599,3,Kennedy,CERTIFICADO,Bolsillo,KENNEDY SUPERMANZANA 6B (MODICASA),8,"-74,1467357726967","4,618080264438037"
08-602,2,Kennedy,CERTIFICADO,Vecinal,DESARROLLO DISCOS C. B. S. S.A. COLOMBIA,8,"-74,14883450444921","4,5960379971445215"
08-656,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD TECHO II,8,"-74,15144298116726","4,640514357212126"
08-657,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD TECHO II,8,"-74,15425465096354","4,640238584537465"
14-062,3,Martires,CERTIFICADO,Bolsillo,URBANIZACIÓN SANTA ISABEL I SECTOR,14,"-74,0988525802565","4,601223943727847"
14-063,3,Martires,CERTIFICADO,Bolsillo,URBANIZACIÓN SANTA ISABEL I SECTOR,14,"-74,10045128411987","4,601874876275309"
08-118,3,Kennedy,CERTIFICADO,Vecinal,CARVAJAL,8,"-74,14136542204437","4,612600828967244"
08-085,3,Kennedy,CERTIFICADO,Vecinal,KENNEDY SUPERMANZANA 1,8,"-74,14179192642075","4,6215089085424905"
08-476,2,Kennedy,CERTIFICADO,Bolsillo,MONTERREY,8,"-74,14748839112322","4,643059355787699"
08-223,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD KENNEDY ORIENTAL SUPERMANZANA 6,8,"-74,15242069898852","4,619211052034929"
08-634,3,Kennedy,CERTIFICADO,Vecinal,LA FAYETTE,8,"-74,1312238790679","4,647201853249448"
08-637,3,Kennedy,CERTIFICADO,Bolsillo,NUEVAS DELICIAS,8,"-74,14561942236926","4,597103052846723"
08-638,3,Kennedy,CERTIFICADO,Vecinal,FLORALIA II SECTOR,8,"-74,13835221701073","4,606066696584051"
08-662,2,Kennedy,CERTIFICADO,Vecinal,LA TINTALÁ,8,"-74,15917701133452","4,645272006847248"
